acquisition_orientation	autocorrelation_model	b0_unwarping_software	coordinate_space	echo_time	field_of_view	field_strength	flip_angle	full_dataset_url	functional_coregistered_to_structural	functional_coregistration_method	group_comparison	group_description	group_estimation_type	group_inference_type	group_model_multilevel	group_model_type	group_modeling_software	group_repeated_measures	group_repeated_measures_method	handedness	hemodynamic_response_function	high_pass_filter_method	inclusion_exclusion_criteria	interpolation_method	intersubject_registration_software	intersubject_transformation_type	intrasubject_estimation_type	intrasubject_model_type	intrasubject_modeling_software	length_of_blocks	length_of_runs	length_of_trials	matrix_size	motion_correction_interpolation	motion_correction_metric	motion_correction_reference	motion_correction_software	nonlinear_transform_type	number_of_experimental_units	number_of_images	number_of_imaging_runs	number_of_rejected_subjects	object_image_type	optimization	optimization_method	order_of_acquisition	order_of_preprocessing_operations	orthogonalization_description	parallel_imaging	proportion_male_subjects	pulse_sequence	quality_control	repetition_time	resampled_voxel_size	scanner_make	scanner_model	skip_distance	slice_thickness	slice_timing_correction_software	smoothing_fwhm	smoothing_type	software_package	software_version	subject_age_max	subject_age_mean	subject_age_min	target_resolution	target_template_image	transform_similarity_metric	type_of_design	used_b0_unwarping	used_dispersion_derivatives	used_high_pass_filter	used_intersubject_registration	used_motion_correction	used_motion_regressors	used_motion_susceptibiity_correction	used_orthogonalization	used_reaction_time_regressor	used_slice_timing_correction	used_smoothing	used_temporal_derivatives
n/a	n/a	n/a	mni	40.0	220.0	1.5	60.0	n/a	True	SPM2	False	n/a	OLS	randommixedeffects	n/a	regression	SPM2	False	n/a	right	double gamma	120 s	n/a	n/a	SPM2	nonlinear	OLS	regression	SPM2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	FSL	n/a	n/a	1	n/a	6	n/a	n/a	n/a	n/a	FSL: slice-time, motion correction. SPM2: coregistration, normalization, smoothing	n/a	n/a	64.0	EPI	manual inspection of coregistration and normalization	2000.0	n/a	GE	Signa Twin Speed Excite HD	n/a	4.5	FSL	6.0	Gaussian	FSL / SPM2	n/a	n/a	22.0	18.0	n/a	avg152T1.img	n/a	other	False	False	True	True	True	n/a	n/a	n/a	False	True	True	False
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
oblique parallel tot he brainstem	n/a	n/a	n/a	22.0	192.0	3.0	90.0	n/a	n/a	n/a	True	One group consisted of young subjects (mean age 24.2 years) and the other of seniors (mean age 64.8). Both groups consisted of healthy individuals with no previous swallowing problems.	n/a	n/a	n/a	n/a	n/a	n/a	n/a	both	n/a	n/a	Healthy subjects with no previous swallowing problems.	n/a	n/a	n/a	n/a	n/a	n/a	n/a	250.0	11	96	n/a	n/a	n/a	n/a	n/a	1	2	125	0	n/a	False	n/a	interleaved	n/a	n/a	iPAT 2	13.0	EPI	n/a	2.0	n/a	Siemens	Verio	2.5	2.5	n/a	n/a	n/a	n/a	n/a	75.0	44.0	20.0	n/a	n/a	n/a	eventrelated	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	True	high vs low scores on Fear-Survey Schedule-II (FSSII) and the Fear of Spider Questionnaire (FSQ)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	right	n/a	n/a	MRI compatibility, right-handedness, and absence of current or personal history of psychosis, mood or anxiety disorders—other than potentential specific spider phobia—according to the MINI Internation	n/a	n/a	n/a	n/a	n/a	n/a	10.0	612.0	2.5	n/a	n/a	n/a	n/a	n/a	n/a	40	5	1	7	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	27.0	21.0	18.0	n/a	n/a	n/a	blocked	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	27	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	n/a	45.0	n/a	1.5	90.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	History of neurological/psychiatric disorders, metal or other substances in body prohibiting participation in MRI setting. Right footed soccer players only.	n/a	n/a	n/a	n/a	General Linear Model (GLM)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2500.0	n/a	Siemens (Erlange/Germany)	Avanto	n/a	n/a	n/a	8.0	Using a Gaussian kernel	SPM	8	n/a	24.57	n/a	n/a	n/a	n/a	eventrelated	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	9	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	mni	30.0	200.0	3.0	80.0	n/a	True	spm - Coregister: Estimate and Reslice	False	n/a	n/a	randommixedeffects	n/a	n/a	n/a	True	n/a	right	n/a	n/a	Normal or corrected-to-normal vision; MRI compatible; no history of psychological or neurological disorders 	n/a	spm12b	n/a	n/a	n/a	spm12b	183.0	390.0	3.75	64	n/a	n/a	n/a	n/a	n/a	96	22	4	2	n/a	n/a	n/a	interleaved	skull-stripping, unwarping using fieldmaps, realignment of functionals, coregistration, manual reorientation to AC-PC, normalization to MNI space using Dartel	n/a	n/a	0.47	T2*-weighted BOLD EPI	Data series were examined for striping and motion artifacts; after cogregistration, the correspondence between structurals and functionals was checked.	2000.0	n/a	Siemens	Allegra	n/a	4.0	n/a	6.0	Gaussian Kernel	spm	12b	30.0	22.63	19.0	n/a	n/a	n/a	hybridblockevent	n/a	n/a	False	True	n/a	True	n/a	n/a	n/a	n/a	True	n/a
axial	AR1	n/a	mni	30.0	210.0	3.0	77.0	n/a	True	Normalized Mutual Information	False	NA	OLS	randommixedeffects	n/a	GLM (one sample t-test)	SPM	False	yes (no assumption paired = one sample on difference)	both	HRF	basis set	no known neurological or psychiatric disorder	spline 4th order	SPM12b	nonlinear	WLS (OLS with Whitening)	GLM	SPM	8.0	640.0	n/a	70	4th degree spline	least square	1st then mean	SPM	n/a	40	3	1	0	T1	True	Equalization of the PSD 	interleaved	slice timing, realignement, coregistration mean EPI/T1, T1 segmentation, normalization, smoothing 	n/a	n/a	0.5366	EPI	mean displacement and globals outliers (using modified boxplot rule) enter as regressors + checked the statistical masks were concordant bewtween subjects	2.0	2.0	Siemens	Tim Trio 	0.0	3.0	SPM	6.0	3D Gaussian	SPM	12b	n/a	24.1	n/a	1.0	MNI 152	n/a	blocked	False	False	True	True	True	True	False	False	False	True	True	False
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	right	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Coronal	n/a	n/a	mni	30.0	n/a	3.0	7.0	n/a	True	SPM8 native	False	Combination of healthy young and older male participants.	n/a	fixedeffects	n/a	regression	SPM8 native	n/a	n/a	right	HRF	128	No history of taste, smell, neurological, or psychological disorders. Right handed, non-smoker for at least 3 months,. No using any form of medication affecting taste perception.	n/a	SPM8	nonlinear	n/a	regression	SPM8	3.0	900.0	variable	n/a	n/a	n/a	mean image.	SPM8 native	DARTEL	15	3	4	2	T1	n/a	n/a	n/a	Realignment, coregistration, normalization, smoothing	n/a	n/a	1.0	PRESTO	Visual	0.852	2.0	Philips	Intera	n/a	3.0	PRESTO images do not require timing correction.	6.0	FWHM	SPM	8	72.0	43.84	19.0	2.0	SPM8 native	n/a	blocked	False	n/a	True	True	True	True	n/a	n/a	False	False	True	n/a
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
axial	global approximate AR(1) autocorrelation model 	n/a	mni	30.0	n/a	3.0	90.0	n/a	True	n/a	False	n/a	OLS	randommixedeffects	n/a	regression	n/a	True	n/a	right	canonical hemodynamic response function and its first temporal derivative	drift fit with discrete cosine transform basis (1/200 Hz cut-off) 	no history of psychiatric or neurological disorders  / no current use of any psychoactive medications / All were right handed and had normal or corrected to normal vision and reported normal hearing.	trilinear	SPM	nonlinear	generalized least squares	regression	n/a	83.0	844.0	variable	42	2nd degree B spline	n/a	first image of the first run	n/a	n/a	96	22	8	0	T1	True	random sequence generation and optimization using effieciency calculation (https://github.com/MRC-CBU/riksneurotools)	ascending	slice artifact repair (ArtRepair SPM toolbox), realignment & unwarping, slice-timing correction, despiking (ArtRepair SPM toolbox), spatial normalization and smoothing	SPM way: for each condition the temporal derivative is orthogonalized with respect to the canonical HRF	n/a	0.625	gradient echo echo-planar images	n/a	2560.0	2.0	siemens	TRIO TIM	0.3	3.0	n/a	8.0	gaussian	SPM	SPM8 — v5236	45.0	30.1	22.0	2.0	n/a	n/a	hybridblockevent	False	False	True	True	True	True	True	True	False	True	True	True
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	Nuisance Variable Regression	n/a	mni	n/a	64.0	3.0	90.0	n/a	True	n/a	False	n/a	OLS	randommixedeffects	n/a	GLM	SPM	True	Flexible Factorial (2x2)	right	Canonical	1/128	Usual fMRI	n/a	SPM	nonlinear	OLS	GLM	SPM	n/a	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	798	6	1	8	n/a	True	Factorial Design	ascending	n/a	Default SPM	n/a	0.5	n/a	n/a	1.54	3.0	Siemens	Trio	n/a	3.0	n/a	6.0	n/a	SPM	8	45.0	24.5	21.0	n/a	n/a	n/a	eventrelated	True	False	True	True	True	True	True	True	False	False	True	False
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	right	n/a	n/a	Exclusion: history of neurological or psychiatric disorders, excess head movement during scanning (> 5 mm)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	n/a	4	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.31	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	n/a	n/a	n/a	3.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	right	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	12.0	800.0	1.5	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	6	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.5	n/a	n/a	n/a	n/a	Siemens	n/a	n/a	n/a	n/a	n/a	n/a	AFNI	n/a	26.0	22.4	18.0	n/a	n/a	n/a	hybridblockevent	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
AC-PC	n/a	n/a	n/a	30.0	n/a	3.0	70.0	n/a	n/a	n/a	False	n/a	n/a	randommixedeffects	n/a	ANOVA	n/a	n/a	n/a	right	n/a	n/a	n/a	n/a	n/a	n/a	n/a	GLM	n/a	n/a	420.0	n/a	64	n/a	n/a	n/a	n/a	n/a	n/a	19	4	n/a	n/a	n/a	n/a	interleaved	n/a	n/a	n/a	0.69	Gradient EPI	n/a	2000.0	2.0	Siemens	Tim Trio	0.6	3.0	n/a	8.0	n/a	SPM	8	37.0	27.0	21.0	n/a	n/a	n/a	other	n/a	False	True	n/a	True	True	True	False	n/a	True	True	n/a
n/a	n/a	n/a	n/a	n/a	n/a	7.0	n/a	http://openscience.cbs.mpg.de/7t_trt/	n/a	n/a	False	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	right	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	900.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	2	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.5	n/a	n/a	n/a	n/a	Siemens	Magnetom	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	20	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
