acquisition_orientation	autocorrelation_model	b0_unwarping_software	coordinate_space	echo_time	field_of_view	field_strength	flip_angle	full_dataset_url	functional_coregistered_to_structural	functional_coregistration_method	group_comparison	group_description	group_estimation_type	group_inference_type	group_model_multilevel	group_model_type	group_modeling_software	group_repeated_measures	group_repeated_measures_method	handedness	hemodynamic_response_function	high_pass_filter_method	inclusion_exclusion_criteria	interpolation_method	intersubject_registration_software	intersubject_transformation_type	intrasubject_estimation_type	intrasubject_model_type	intrasubject_modeling_software	length_of_blocks	length_of_runs	length_of_trials	matrix_size	motion_correction_interpolation	motion_correction_metric	motion_correction_reference	motion_correction_software	nonlinear_transform_type	number_of_experimental_units	number_of_images	number_of_imaging_runs	number_of_rejected_subjects	object_image_type	optimization	optimization_method	order_of_acquisition	order_of_preprocessing_operations	orthogonalization_description	parallel_imaging	proportion_male_subjects	pulse_sequence	quality_control	repetition_time	resampled_voxel_size	scanner_make	scanner_model	skip_distance	slice_thickness	slice_timing_correction_software	smoothing_fwhm	smoothing_type	software_package	software_version	subject_age_max	subject_age_mean	subject_age_min	target_resolution	target_template_image	transform_similarity_metric	type_of_design	used_b0_unwarping	used_dispersion_derivatives	used_high_pass_filter	used_intersubject_registration	used_motion_correction	used_motion_regressors	used_motion_susceptibiity_correction	used_orthogonalization	used_reaction_time_regressor	used_slice_timing_correction	used_smoothing	used_temporal_derivatives	doi	pmid	year	title	source_title
																																								3.0																																											10.1016/j.neuroimage.2012.03.012	22440654.0	2012	Multiple Roles For Executive Control In BeliefâDesire Reasoning: Distinct Neural Networks Are Recruited For Self Perspective Inhibition And Complexity Of Reasoning	NeuroImage
						3.0		https://openfmri.org/dataset/ds000109																																8.0															Siemens	Tim Trio																											10.1523/JNEUROSCI.5511-11.2012	22514317.0	2012	Social-Cognitive Deficits In Normal Aging	The Journal Of Neuroscience
			mni	40.0	220.0	1.5	60.0		True	SPM2	False		OLS	randommixedeffects		regression	SPM2	False		right	double gamma	120 s			SPM2	nonlinear	OLS	regression	SPM2								FSL			1.0		6.0					FSL: slice-time, motion correction. SPM2: coregistration, normalization, smoothing			64.0	EPI	manual inspection of coregistration and normalization	2000.0		GE	Signa Twin Speed Excite HD		4.5	FSL	6.0	Gaussian	FSL / SPM2			22.0	18.0		avg152T1.img		other	False	False	True	True	True				False	True	True	False	10.1093/scan/nss148	23202664.0	2013	Anticipatory Brain Activity Predicts The Success Or Failure Of Subsequent Emotion Regulation	Social Cognitive And Affective Neuroscience
																																								1.0																																											10.1016/j.neuroimage.2012.12.012	23261640.0	2013	Escaping The Here And Now: Evidence For A Role Of The Default Mode Network In Perceptually Decoupled Thought	NeuroImage
oblique parallel tot he brainstem				22.0	192.0	3.0	90.0				True	One group consisted of young subjects (mean age 24.2 years) and the other of seniors (mean age 64.8). Both groups consisted of healthy individuals with no previous swallowing problems.								both			Healthy subjects with no previous swallowing problems.								250.0	11	96.0						1.0	2.0	125.0	0.0		False		interleaved			iPAT 2	13.0	EPI		2.0		Siemens	Verio	2.5	2.5						75.0	44.0	20.0				eventrelated													10.1016/j.bbr.2015.03.009	25771712.0	2015	Neural Representation Of Swallowing Is Retained With Age. A Functional Neuroimaging Study Validated By Classical And Bayesian Inference	Behavioural Brain Research
											True	high vs low scores on Fear-Survey Schedule-II (FSSII) and the Fear of Spider Questionnaire (FSQ)								right			MRI compatibility, right-handedness, and absence of current or personal history of psychosis, mood or anxiety disorders—other than potentential specific spider phobia—according to the MINI Internation							10.0	612.0	2.5							40.0	5.0	1.0	7.0								0.0														27.0	21.0	18.0				blocked													10.1371/journal.pone.0120101	25811453.0	2015	The Relationship Between Fearfulness, GABA+, And Fear-Related BOLD Responses In The Insula	Plos One
																																								27.0																																											10.3389/fnhum.2015.00146	25852527.0	2015	Synchrony Between Sensory And Cognitive Networks Is Associated With Subclinical Variation In Autistic Traits	Frontiers In Human Neuroscience
				45.0		1.5	90.0																History of neurological/psychiatric disorders, metal or other substances in body prohibiting participation in MRI setting. Right footed soccer players only.					General Linear Model (GLM)												7.0													2500.0		Siemens (Erlange/Germany)	Avanto				8.0	Using a Gaussian kernel	SPM	8		24.57					eventrelated													10.1371/journal.pone.0122798	25875594.0	2015	Goal Or Gold: Overlapping Reward Processes In Soccer Players Upon Scoring And Winning Money	Plos One
																																								9.0																																											10.1016/j.biopsych.2015.03.027	25935068.0	2016	Neural Correlates Of Disturbed Emotion Processing In Borderline Personality Disorder: A Multimodal Meta-Analysis	Biological Psychiatry
			mni	30.0	200.0	3.0	80.0		True	spm - Coregister: Estimate and Reslice	False			randommixedeffects				True		right			Normal or corrected-to-normal vision; MRI compatible; no history of psychological or neurological disorders 		spm12b				spm12b	183.0	390.0	3.75	64.0						96.0	22.0	4.0	2.0				interleaved	skull-stripping, unwarping using fieldmaps, realignment of functionals, coregistration, manual reorientation to AC-PC, normalization to MNI space using Dartel			0.47	T2*-weighted BOLD EPI	Data series were examined for striping and motion artifacts; after cogregistration, the correspondence between structurals and functionals was checked.	2000.0		Siemens	Allegra		4.0		6.0	Gaussian Kernel	spm	12b	30.0	22.63	19.0				hybridblockevent			False	True		True					True		10.1371/journal.pone.0127203	26000735.0	2015	Neural Correlates Of Attentional Flexibility During Approach And Avoidance Motivation	Plos One
axial	AR1		mni	30.0	210.0	3.0	77.0		True	Normalized Mutual Information	False		OLS	randommixedeffects		GLM (one sample t-test)	SPM	False	yes (no assumption paired = one sample on difference)	both	HRF	basis set	no known neurological or psychiatric disorder	spline 4th order	SPM12b	nonlinear	WLS (OLS with Whitening)	GLM	SPM	8.0	640.0		70.0	4th degree spline	least square	1st then mean	SPM		40.0	3.0	1.0	0.0	T1	True	Equalization of the PSD 	interleaved	slice timing, realignement, coregistration mean EPI/T1, T1 segmentation, normalization, smoothing 			0.5366	EPI	mean displacement and globals outliers (using modified boxplot rule) enter as regressors + checked the statistical masks were concordant bewtween subjects	2.0	2.0	Siemens	Tim Trio 	0.0	3.0	SPM	6.0	3D Gaussian	SPM	12b		24.1		1.0	MNI 152		blocked	False	False	True	True	True	True	False	False	False	True	True	False	10.1016/j.neuroimage.2015.06.050	26116964.0	2015	The Human Voice Areas: Spatial Organization And Inter-Individual Variability In Temporal And Extra-Temporal Cortices	NeuroImage
																				right																				2.0																																											10.1371/journal.pone.0132209	26125559.0	2015	Shaped By The Past: The Default Mode Network Supports Cognition That Is Independent Of Immediate Perceptual Input	Plos One
Coronal			mni	30.0		3.0	7.0		True	SPM8 native	False	Combination of healthy young and older male participants.		fixedeffects		regression	SPM8 native			right	HRF	128	No history of taste, smell, neurological, or psychological disorders. Right handed, non-smoker for at least 3 months,. No using any form of medication affecting taste perception.		SPM8	nonlinear		regression	SPM8	3.0	900.0	variable				mean image.	SPM8 native	DARTEL	15.0	3.0	4.0	2.0	T1				Realignment, coregistration, normalization, smoothing			1.0	PRESTO	Visual	0.852	2.0	Philips	Intera		3.0	PRESTO images do not require timing correction.	6.0	FWHM	SPM	8	72.0	43.84	19.0	2.0	SPM8 native		blocked	False		True	True	True	True			False	False	True		10.1016/j.neuroimage.2015.06.062	26142270.0	2015	Functional Specialization Of The Male Insula During Taste Perception	NeuroImage
																																								11.0																																											10.1016/j.bandl.2015.08.004	26341544.0	2016	Patients With Focal Cerebellar Lesions Show Reduced Auditory Cortex Activation During Silent Reading	Brain And Language
axial	global approximate AR(1) autocorrelation model 		mni	30.0		3.0	90.0		True		False		OLS	randommixedeffects		regression		True		right	canonical hemodynamic response function and its first temporal derivative	drift fit with discrete cosine transform basis (1/200 Hz cut-off) 	no history of psychiatric or neurological disorders  / no current use of any psychoactive medications / All were right handed and had normal or corrected to normal vision and reported normal hearing.	trilinear	SPM	nonlinear	generalized least squares	regression		83.0	844.0	variable	42.0	2nd degree B spline		first image of the first run			96.0	22.0	8.0	0.0	T1	True	random sequence generation and optimization using effieciency calculation (https://github.com/MRC-CBU/riksneurotools)	ascending	slice artifact repair (ArtRepair SPM toolbox), realignment & unwarping, slice-timing correction, despiking (ArtRepair SPM toolbox), spatial normalization and smoothing	SPM way: for each condition the temporal derivative is orthogonalized with respect to the canonical HRF		0.625	gradient echo echo-planar images		2560.0	2.0	siemens	TRIO TIM	0.3	3.0		8.0	gaussian	SPM	SPM8 — v5236	45.0	30.1	22.0	2.0			hybridblockevent	False	False	True	True	True	True	True	True	False	True	True	True	10.1016/j.neuroimage.2015.09.045	26419391.0	2016	How Prior Expectations Shape Multisensory Perception	NeuroImage
																																								1.0																																											10.1002/hbm.23015	26452176.0	2015	Motor Imagery Of Hand Actions: Decoding The Content Of Motor Imagery From Brain Activity In Frontal And Parietal Motor Areas	Human Brain Mapping
	Nuisance Variable Regression		mni		64.0	3.0	90.0		True		False		OLS	randommixedeffects		GLM	SPM	True	Flexible Factorial (2x2)	right	Canonical	1/128	Usual fMRI		SPM	nonlinear	OLS	GLM	SPM			2							798.0	6.0	1.0	8.0		True	Factorial Design	ascending		Default SPM		0.5			1.54	3.0	Siemens	Trio		3.0		6.0		SPM	8	45.0	24.5	21.0				eventrelated	True	False	True	True	True	True	True	True	False	False	True	False	10.1016/j.neuroimage.2015.11.030	26584870.0	2016	Anterior Insula Coordinates Hierarchical Processing Of Tactile Mismatch Responses	NeuroImage
																																								8.0																																											10.1016/j.neuroimage.2016.01.013	26806289.0	2016	Evaluating Cognitive Models Of Visual Word Recognition Using fMRI: Effects Of Lexical And Sublexical Variables	NeuroImage
																				right			Exclusion: history of neurological or psychiatric disorders, excess head movement during scanning (> 5 mm)																	4.0		4.0								0.31																																	10.1016/j.neuroimage.2016.04.044	27107470.0	2016	Similar Coding Of Freely Chosen And Externally Cued Intentions In A Fronto-Parietal Network	NeuroImage
						3.0														right										12.0	800.0	1.5								5.0	6.0	2.0								0.5					Siemens							AFNI		26.0	22.4	18.0				hybridblockevent													10.1371/journal.pone.0158465	27391013.0	2016	Coupling Between Theta Oscillations And Cognitive Control Network During Cross-Modal Visual And Auditory Attention: Supramodal Vs Modality-Specific Mechanisms	Plos One
																																								2.0																																											10.1093/scan/nsw134	27633395.0	2016	The Neural Development Of ‘Us And Them’	Social Cognitive And Affective Neuroscience
																																								3.0																																											10.1016/j.neuroimage.2016.09.059	27677231.0	2017	Neural Mechanisms Of Cue-Approach Training	NeuroImage
AC-PC				30.0		3.0	70.0				False			randommixedeffects		ANOVA				right								GLM			420.0		64.0							19.0	4.0					interleaved				0.69	Gradient EPI		2000.0	2.0	Siemens	Tim Trio	0.6	3.0		8.0		SPM	8	37.0	27.0	21.0				other		False	True		True	True	True	False		True	True		10.1016/j.neuroimage.2016.11.009	27845254.0	2017	Neuronal Correlates Of Continuous Manual Tracking Under Varying Visual Movement Feedback In A Virtual Reality Environment	NeuroImage
						7.0		http://openscience.cbs.mpg.de/7t_trt/			False									right											900.0								1.0	2.0	3.0									0.5					Siemens	Magnetom														other													10.1016/j.neuroimage.2016.11.029	27864079.0	2018	Temporal Reliability Of Ultra-High Field Resting-State MRI For Single-Subject Sensorimotor And Language Mapping	NeuroImage
																																								20.0																																											10.1016/j.neuroimage.2016.11.025	27864082.0	2017	Individual Variation In Intentionality In The Mind-Wandering State Is Reflected In The Integration Of The Default-Mode, Fronto-Parietal, And Limbic Networks	NeuroImage
																																								14.0																																											10.1016/j.neuroimage.2016.11.067	27908787.0	2017	Fractionating The Anterior Temporal Lobe: MVPA Reveals Differential Responses To Input And Conceptual Modality	NeuroImage
																																								11.0																																											10.1016/j.neuroimage.2016.12.041	27989774.0	2017	Failure To Retreat: Blunted Sensitivity To Negative Feedback Supports Risky Behavior In Adolescents	NeuroImage
																																								10.0																																											10.1162/jocn_a_01061	28129057.0	2017	Adaptive Adolescent Flexibility: Neurodevelopment Of Decision-making And Learning In A Risky Context	Journal Of Cognitive Neuroscience
																																								9.0																																											10.3758/s13415-017-0497-9	28168598.0	2017	Brain Activity Underlying Negative Self- And Other-Perception In Adolescents: The Role Of Attachment-Derived Self-Representations	Cognitive, Affective, & Behavioral Neuroscience
																				right																				14.0																									24.0																		10.1016/j.neuroimage.2017.02.008	28179164.0	2017	Metacognitive Ability Correlates With Hippocampal And Prefrontal Microstructure	NeuroImage
																																								9.0																																											10.1016/j.neuroimage.2017.02.041	28219776.0	2017	Deactivation In The Posterior Mid-Cingulate Cortex Reflects Perceptual Transitions During Binocular Rivalry: Evidence From Simultaneous EEG-fMRI	NeuroImage
																																								11.0																																											10.1016/j.neuroimage.2017.02.071	28246034.0	2017	Knowing What From Where: Hippocampal Connectivity With Temporoparietal Cortex At Rest Is Linked To Individual Differences In Semantic And Topographic Memory	NeuroImage
			mni	30.0	192.0	3.0	80.0		True		False														FSL	linear							64.0							16.0		1.0	T1			ascending				0.53	SENSE factor 2	visual inspection, motion parameters, coregistration parameters, behavioral data	1960.0	2.0	Phillips	Achieva	0.6	3.0				FSL			26.0		2.0			other													10.1016/j.neuroimage.2017.03.022	28300639.0	2017	Sliding-window Analysis Tracks Fluctuations In Amygdala Functional Connectivity Associated With Physiological Arousal And Vigilance During Fear Conditioning	NeuroImage
																																								4.0																																											10.1523/JNEUROSCI.2700-16.2017	28320846.0	2017	Working Memory Load Strengthens Reward Prediction Errors	The Journal Of Neuroscience
																																								1.0																																											10.3389/fnhum.2017.00141	28392763.0	2017	Activation In Context: Differential Conclusions Drawn From Cross-Sectional And Longitudinal Analyses Of Adolescentsâ Cognitive Control-Related Neural Activity	Frontiers In Human Neuroscience
																																								6.0																																											10.1073/pnas.1615773114	28439014.0	2017	Brain Networks For Confidence Weighting And Hierarchical Inference During Probabilistic Learning	Proceedings Of The National Academy Of Sciences
			mni	30.0		3.0			True		False					General linear model				right	Double gamma	Gaussian-weighted least-squares straight line fitting, sigma = 30.0 s				nonlinear					506.0	variable					FSL Motion Outliers			4.0	2.0		T1	True	jittered interstimulus interval	descending	motion correction - non-brain removal - spatial smoothing - grand-mean intensity normalization - high-pass temporal filtering			0.29			2200.0		Philips	Achieva				6.0		FEAT	6.0	57.1	24.5	18.4	2.0	MNI T1-template brain		hybridblockevent	False		True	True	True	True			False	False	True	True	10.1371/journal.pone.0176326	28441460.0	2017	How Embarrassing! The Behavioral And Neural Correlates Of Processing Social Norm Violations	Plos One
																																								36.0																																											10.1093/cercor/bhx121	28521007.0	2017	Computing The Social Brain Connectome Across Systems And States	Cerebral Cortex
								https://osf.io/zx36d/																																8.0																																											10.1073/pnas.1704831114	28701382.0	2017	Reduced Orbitofrontal Cortical Volume Is Associated With Interdependent Self-Construal	Proceedings Of The National Academy Of Sciences
																																								8.0																																											10.1016/j.neuropsychologia.2017.07.008	28709987.0	2017	The Neural Correlates Of Dealing With Social Exclusion In Childhood	Neuropsychologia
AP			mni	23.0	6336512.0	3.0	72.5		True		True	Children age 10-12 and adults age 32-52, the gender-matched parent of the children	classical			one-sample t-test, two-sample t-test		False		right	canonical	128 s	exclusion criteria: eating disorder,food allergy, following a diet (medically prescribed or to lose weight), gastrointestinal disorder, smoking or current alcohol consumption of >28 units/wk				classical	Regression		0.0	613.0	2					ArtRepair version 4		15.0	17.0	2.0	12.0			OptSeq2		slice time correction, realignment, coregistration normalization, smoothing, volume artifact correction with ArtRepair			0.31	T2*-weighted gradient echo 2-dimensional echo-planar imaging sequence		1400.0	4.0	Philips	Achieva	-1.0	4.0		8.0		SPM	12	52.0	28.6	10.0	4.0			eventrelated		False	True	True	True	True			False	True	True	False	10.1016/j.neuroimage.2017.08.007	28827095.0	2017	Considering Healthiness Promotes Healthier Choices But Modulates Medial Prefrontal Cortex Differently In Children Compared With Adults	NeuroImage
																																								14.0																																											10.1371/journal.pone.0185571	28968426.0	2017	Neuroimaging Of Decoding And Language Comprehension In Young Very Low Birth Weight (VLBW) Adolescents: Indications For Compensatory Mechanisms	Plos One
																																								3.0																																											10.1371/journal.pone.0184406	28991914.0	2017	Topiramate Modulates Trigeminal Pain Processing In Thalamo-Cortical Networks In Humans After Single Dose Administration	Plos One
											True																													2.0																						FSL								blocked													10.1371/journal.pone.0187254	29084283.0	2017	Increased Engagement Of The Cognitive Control Network Associated With Music Training In Children During An fMRI Stroop Task	Plos One
																																								3.0																																											10.1162/jocn_a_01206	29131744.0	2018	Not Doomed To Repeat: Enhanced Medial Prefrontal Cortex Tracking Of Errors Promotes Adaptive Behavior During Adolescence	Journal Of Cognitive Neuroscience
						3.0												True		right					DARTEL						0.0								0.0	1225.0	1.0			False					SENSE						Philips	Achieva						SPM12								blocked	False			True									10.1016/j.neuroimage.2018.01.012	29337278.0	2018	Effects Of Hunger State On The Brain Responses To Food Cues Across The Life Span	NeuroImage
			mni			3.0	83.0		True		False									right					AFNI	linear					612.0								1.0	6.0	2.0									0.42	Multi-echo EPI		3.0	2.0	GE	Discovery MR750		3.0				AFNI	16.0.12	34.0	22.6	18.0	1.0	Colin27		other				True							False		10.1016/j.neuroimage.2018.02.042	29496614.0	2018	Segregation Of The Human Basal Forebrain Using Resting State Functional MRI	NeuroImage
																																								8.0																																											10.3758/s13415-018-0579-3	29542095.0	2018	Tuning Down The Hedonic Brain: Cognitive Load Reduces Neural Responses To High-Calorie Food Pictures In The Nucleus Accumbens	Cognitive, Affective, & Behavioral Neuroscience
																																								4.0	6.0			False																										eventrelated													10.1016/j.neuroimage.2018.05.025	29753107.0	2018	The Neural Basis Of Free Language Choice In Bilingual Speakers: Disentangling Language Choice And Language Execution	NeuroImage
																																																																																				20509977.0	2018	The Neural Basis Of Free Language Choice In Bilingual Speakers: Disentangling Language Choice And Language Execution	NeuroImage
																																								20.0																																											10.1038/nn1075		2003	Non-invasive Mapping Of Connections Between Human Thalamus And Cortex Using Diffusion Imaging	Nature Neuroscience
																																								41.0																																											10.1371/journal.pone.0118733	25738502.0	2015	Decreased Prefrontal Lobe Interhemispheric Functional Connectivity In Adolescents With Internet Gaming Disorder: A Primary Study Using Resting-State fMRI	Plos One
																																								1.0																																											10.1016/j.nicl.2012.09.013	24179745.0	2012	Multicentre Absolute Myelin Water Content Mapping: Development Of A Whole Brain Atlas And Application To Low-Grade Multiple Sclerosis	NeuroImage: Clinical
																																								1.0																																											10.3389/fnhum.2018.00405	30364298.0	2018	Whole-Brain Network Connectivity Underlying The Human Speech Articulation As Emerged Integrating Direct Electric Stimulation, Resting State fMRI And Tractography	Frontiers In Human Neuroscience
																																								1.0																																											10.1088/0031-9155/59/10/2517		2014	Brain Shaving: Adaptive Detection For Brain PET Data	Physics In Medicine And Biology
								http://www.nil.wustl.edu/labs/petersen/Resources.html																																3.0																																											10.1093/cercor/bhu239	25316338.0	2014	Generation And Evaluation Of A Cortical Area Parcellation From Resting-State Correlations	Cerebral Cortex
																																								2.0																																											10.1038/jcbfm.2014.21	24496175.0	2014	The Predictive Power Of Brain mRNA Mappings For In Vivo Protein Density: A Positron Emission Tomography Correlation Study	British Journal Of Pharmacology
											True																													20.0																																											10.1111/obr.12221		2014	Reward Processing In Obesity, Substance Addiction And Non-Substance Addiction	Obesity Reviews
																																								26.0																																											10.1002/hbm.23084	26686668.0	2015	Reorganization Of Functionally Connected Brain Subnetworks In High‐Functioning Autism	Human Brain Mapping
																																								48.0																																											10.1371/journal.pone.0103492	25057823.0	2014	Resting States Are Resting Traits â An fMRI Study Of Sex Differences And Menstrual Cycle Effects In Resting State Cognitive Control Networks	Plos One
						3.0		https://openfmri.org/dataset/ds000007																																20.0										0.55					Siemens	Allegra								39.0	23.75	18.0																	10.1093/cercor/bhm220		2008	Common Neural Substrates For Inhibition Of Spoken And Manual Responses	Cerebral Cortex
																																								52.0																																											10.1016/j.neuroimage.2014.03.032		2014	Quantifying Inter-Individual Anatomical Variability In The Subcortex Using 7 T Structural MRI	NeuroImage
																																								1.0																																											10.1016/j.tics.2012.01.005	22310704.0	2012	Ventromedial Prefrontal-Subcortical Systems And The Generation Of Affective Meaning	Trends In Cognitive Sciences
																																								4.0																																											10.1016/j.jocn.2011.02.003		2011	Utilising Functional MRI (fMRI) To Explore The Freezing Phenomenon In Parkinsonâs Disease	Journal Of Clinical Neuroscience
											True	PTSD with and without MDD																												4.0		1.0								50.0												SPM, DPARSF		57.0	35.64	21.0																	10.12688/f1000research.2-289.v2	25309726.0	2014	Altered Functional Connectivity In Posttraumatic Stress Disorder With Versus Without Comorbid Major Depressive Disorder: A Resting State fMRI Study	F1000Research
																																								2.0																																											10.3389/fnbeh.2014.00245	25076879.0	2014	Instrument Specific Use-Dependent Plasticity Shapes The Anatomical Properties Of The Corpus Callosum: A Comparison Between Musicians And Non-Musicians	Frontiers In Behavioral Neuroscience
								http://www.gin.cnrs.fr/AAL																																1.0																																											10.1006/nimg.2001.0978		2002	Automated Anatomical Labeling Of Activations In SPM Using A Macroscopic Anatomical Parcellation Of The MNI MRI Single-Subject Brain	NeuroImage
																																								4.0																																											10.1038/s41562-017-0067		2017	Behavioural And Neural Characterization Of Optimistic Reinforcement Learning	Nature Human Behaviour
																																								4.0																																											10.1073/pnas.1809855116	30728301.0	2019	Musical Reward Prediction Errors Engage The Nucleus Accumbens And Motivate Learning	Proceedings Of The National Academy Of Sciences
																																								378.0																																											10.1016/j.neuroimage.2016.05.073		2016	Reliable Individual-Level Neural Markers Of High-Level Language Processing: A Necessary Precursor For Relating Neural Variability To Behavioral And Genetic Variability	NeuroImage
								http://anima.modelgui.org/studies/Bzdok_Morality_2012																																3.0																																											10.1007/s00429-012-0380-y	22270812.0	2012	Parsing The Neural Correlates Of Moral Cognition: ALE Meta-Analysis On Morality, Theory Of Mind, And Empathy	Brain Structure And Function
																																								30.0																																											10.7554/eLife.08440	26344547.0	2015	Network Structure Of Brain Atrophy In De Novo Parkinson's Disease	eLife
																																								12.0																																											10.1016/j.neuroimage.2018.07.013	29990584.0	2018	Impact Of Short- And Long-Term Mindfulness Meditation Training On Amygdala Reactivity To Emotional Stimuli	NeuroImage
																																								2.0																																											10.1038/nmeth.3098	25194848.0	2014	Evaluation And Statistical Inference For Human Connectomes	Nature Chemical Biology
																																								5.0																																											10.1098/rstb.2018.0033	30852994.0	2019	Brain Activity During Reciprocal Social Interaction Investigated Using Conversational Robots As Control Condition	Philosophical Transactions Of The Royal Society B: Biological Sciences
																																								6.0																																											10.1002/hbm.460030304		1995	Automatic 3-D Model-Based Neuroanatomical Segmentation	Human Brain Mapping
																																								14.0																																											10.1371/journal.pone.0121757	25816237.0	2015	Detecting Static And Dynamic Differences Between Eyes-Closed And Eyes-Open Resting States Using ASL And BOLD fMRI	Plos One
																																								31.0																																											10.1093/cercor/bhx129		2017	Dissociable Roles Of Cerebral μ-Opioid And Type 2 Dopamine Receptors In Vicarious Pain: A Combined PET–fMRI Study	Cerebral Cortex
						1.5		https://openfmri.org/dataset/ds000107																																6.0															Siemens																												10.1016/j.neuroimage.2009.03.014	19289173.0	2009	Consistency And Variability In Functional Localisers	NeuroImage
								http://anima.modelgui.org/studies/Kurth_Insula_2010																																31.0																																											10.1007/s00429-010-0255-z	21473890.0	2010	A Link Between The Systems: Functional Differentiation And Integration Within The Human Insula Revealed By Meta-Analysis	Brain Structure And Function
								https://github.com/ThomasYeoLab/CBIG/tree/master/stable_projects/brain_parcellation/Yeo2011_fcMRI_clustering																																5.0																																											10.1152/jn.00338.2011	21653723.0	2011	The Organization Of The Human Cerebral Cortex Estimated By Intrinsic Functional Connectivity	Journal Of Neurophysiology
axial	FSL Default			25.0	192.0	3.0			True		False		Mixed Effects	randommixedeffects	3 level where run was second level	GLM		False		right	double gamma	66 seconds	no significant health or neuropsychiatric disorders, taking psychoactive medication			linear		GLM					9696.0				FSL			2.0	3.0	1.0		False		interleaved			GRAPPA	44.0	3 shot multiple echo planar imaging	ICA	2.0		GE		0.0	3.0	FSL			FSL	4.1.4		19.9					eventrelated	False	False	True	True	True	True		False	False	True		True	10.1093/scan/nsr094	22198968.0	2011	Great Expectations: Neural Computations Underlying The Use Of Social Norms In Decision-Making	Social Cognitive And Affective Neuroscience
						3.0		https://openfmri.org/dataset/ds000001																																16.0															Siemens	Allegra																											10.3389/fnins.2012.00080	22675289.0	2012	Decreasing Ventromedial Prefrontal Cortex Activity During Sequential Risk-Taking: An fMRI Investigation Of The Balloon Analog Risk Task	Frontiers In Neuroscience
																																								6.0																																											10.1371/journal.pone.0052602	23382821.0	2013	Differential Neural Activation Patterns In Patients With Parkinson's Disease And Freezing Of Gait In Response To Concurrent Cognitive And Motor Load	Plos One
